fund_id,category,total_return,annual_return,volatility,max_drawdown,observations,var95,es95,benchmark_return,excess_return,tracking_error,information_ratio,peer_rank,peer_count,peer_median,period
DEMO-HS01,Hisse Senedi,0.6307905272,0.6307905272,0.2943868839,-0.1577914135,252,0.0265803681,0.0342741616,0.7823715115,-0.1515809843,0.0511471072,-1.7270715076,6,6,0.7462442124,1Y
DEMO-HS02,Hisse Senedi,0.7714555163,0.7714555163,0.2936093411,-0.1418466534,252,0.0275149943,0.0343627416,0.7823715115,-0.0109159952,0.0510461299,-0.1099350614,2,6,0.7462442124,1Y
DEMO-HS03,Hisse Senedi,0.7210655271,0.7210655271,0.2951301339,-0.1581469099,252,0.0271720923,0.0339091520,0.7823715115,-0.0613059843,0.0520460772,-0.6556690062,5,6,0.7462442124,1Y
DEMO-HS04,Hisse Senedi,0.8075534308,0.8075534308,0.2967817728,-0.1364807671,252,0.0282303277,0.0349313879,0.7823715115,0.0251819193,0.0510040292,0.3038673231,1,6,0.7462442124,1Y
DEMO-HS05,Hisse Senedi,0.7643394994,0.7643394994,0.2997185805,-0.1632035167,252,0.0268932379,0.0343186198,0.7823715115,-0.0180320120,0.0530904276,-0.1482789815,3,6,0.7462442124,1Y
DEMO-HS06,Hisse Senedi,0.7281489254,0.7281489254,0.2962996858,-0.1518419792,252,0.0276263397,0.0327680148,0.7823715115,-0.0542225861,0.0497550366,-0.5964795468,4,6,0.7462442124,1Y
DEMO-BA01,Borçlanma Araçları,0.2261882802,0.2261882802,0.0684467493,-0.0235790814,252,0.0059744149,0.0075001945,0.2749580935,-0.0487698133,0.0104197166,-3.7421657817,6,6,0.2757669722,1Y
DEMO-BA02,Borçlanma Araçları,0.2494244847,0.2494244847,0.0685146625,-0.0262881648,252,0.0058388077,0.0070144393,0.2749580935,-0.0255336088,0.0104589919,-1.9313138457,5,6,0.2757669722,1Y
DEMO-BA03,Borçlanma Araçları,0.2668861256,0.2668861256,0.0684848254,-0.0232516106,252,0.0056394190,0.0069886826,0.2749580935,-0.0080719679,0.0104655299,-0.6029184991,4,6,0.2757669722,1Y
DEMO-BA04,Borçlanma Araçları,0.2846478187,0.2846478187,0.0679463995,-0.0224703133,252,0.0062562105,0.0072006207,0.2749580935,0.0096897252,0.0107328623,0.7071428309,3,6,0.2757669722,1Y
DEMO-BA05,Borçlanma Araçları,0.2931635611,0.2931635611,0.0675896783,-0.0211340719,252,0.0055678961,0.0069942885,0.2749580935,0.0182054676,0.0110461740,1.2836045367,1,6,0.2757669722,1Y
DEMO-BA06,Borçlanma Araçları,0.2891199627,0.2891199627,0.0677873905,-0.0210551999,252,0.0055473393,0.0070839461,0.2749580935,0.0141618692,0.0112182486,0.9856351602,2,6,0.2757669722,1Y
DEMO-AL01,Altın,0.6322152519,0.6322152519,0.2439923155,-0.1789615556,252,0.0234062457,0.0295602513,0.7390241892,-0.1068089372,0.0391557077,-1.5961708364,6,6,0.7095323163,1Y
DEMO-AL02,Altın,0.6644053130,0.6644053130,0.2456532820,-0.1656536847,252,0.0217162856,0.0285974369,0.7390241892,-0.0746188761,0.0409492634,-1.0391624949,5,6,0.7095323163,1Y
DEMO-AL03,Altın,0.7455948277,0.7455948277,0.2393665369,-0.1515480194,252,0.0212132931,0.0274537241,0.7390241892,0.0065706385,0.0378790935,0.0966224016,3,6,0.7095323163,1Y
DEMO-AL04,Altın,0.7739145420,0.7739145420,0.2442455171,-0.1820398991,252,0.0241929664,0.0282025370,0.7390241892,0.0348903528,0.0391933028,0.5345976031,1,6,0.7095323163,1Y
DEMO-AL05,Altın,0.6734698048,0.6734698048,0.2419032495,-0.1652850777,252,0.0230086213,0.0288215664,0.7390241892,-0.0655543844,0.0385617248,-0.9855061837,4,6,0.7095323163,1Y
DEMO-AL06,Altın,0.7657738450,0.7657738450,0.2443945280,-0.1779508180,252,0.0230335343,0.0286759585,0.7390241892,0.0267496559,0.0364674827,0.4495395895,2,6,0.7095323163,1Y
DEMO-PP01,Para Piyasası,0.2330260115,0.2330260115,0.0092546370,-0.0006276953,252,0.0001432347,0.0002699695,0.2677311302,-0.0347051186,0.0012935326,-21.4782753387,6,6,0.2625566572,1Y
DEMO-PP02,Para Piyasası,0.2464844806,0.2464844806,0.0095110303,-0.0004131086,252,0.0000584843,0.0002154390,0.2677311302,-0.0212466496,0.0014023965,-12.0617416883,5,6,0.2625566572,1Y
DEMO-PP03,Para Piyasası,0.2574692127,0.2574692127,0.0095563477,-0.0004184605,252,0.0000000000,0.0001968876,0.2677311302,-0.0102619175,0.0013622827,-5.9702161552,4,6,0.2625566572,1Y
DEMO-PP04,Para Piyasası,0.2676441018,0.2676441018,0.0095303197,-0.0004358004,252,0.0000515185,0.0002267923,0.2677311302,-0.0000870284,0.0014859501,-0.0450278201,3,6,0.2625566572,1Y
DEMO-PP05,Para Piyasası,0.2776021638,0.2776021638,0.0093710056,-0.0003701022,252,0.0000000000,0.0000848089,0.2677311302,0.0098710336,0.0013795886,5.6277278742,2,6,0.2625566572,1Y
DEMO-PP06,Para Piyasası,0.2900312366,0.2900312366,0.0093293916,-0.0003988238,252,0.0000000000,0.0000802018,0.2677311302,0.0223001064,0.0014418633,12.1055760369,1,6,0.2625566572,1Y
DEMO-DG01,Değişken,0.0779400879,0.0779400879,0.1642674835,-0.1029036099,252,0.0162694353,0.0218190048,0.1603092915,-0.0823692035,0.0252448132,-2.9120657808,6,6,0.1387039029,1Y
DEMO-DG02,Değişken,0.1372160814,0.1372160814,0.1628552173,-0.1230091414,252,0.0163462212,0.0205036468,0.1603092915,-0.0230932101,0.0296510396,-0.6813159965,4,6,0.1387039029,1Y
DEMO-DG03,Değişken,0.1165059715,0.1165059715,0.1644432891,-0.1029707887,252,0.0164930309,0.0211092115,0.1603092915,-0.0438033200,0.0258482555,-1.4826233652,5,6,0.1387039029,1Y
DEMO-DG04,Değişken,0.1401917245,0.1401917245,0.1634770006,-0.1049756092,252,0.0153997622,0.0211108349,0.1603092915,-0.0201175670,0.0279082769,-0.6267220810,3,6,0.1387039029,1Y
DEMO-DG05,Değişken,0.1723866261,0.1723866261,0.1650962073,-0.0935519346,252,0.0163988367,0.0204259763,0.1603092915,0.0120773346,0.0289780333,0.3670513332,2,6,0.1387039029,1Y
DEMO-DG06,Değişken,0.1728779299,0.1728779299,0.1648632233,-0.0986296080,252,0.0167727712,0.0208639979,0.1603092915,0.0125686384,0.0278705952,0.3952826831,1,6,0.1387039029,1Y
DEMO-HS01,Hisse Senedi,0.1126265484,0.0362148363,0.3030715561,-0.4761154661,756,0.0302050751,0.0372191395,0.3793378112,-0.2667112628,0.0509846216,-1.3841513161,6,6,0.3627314344,3Y
DEMO-HS02,Hisse Senedi,0.4509553019,0.1320997068,0.3020936999,-0.4215191053,756,0.0298109010,0.0374519934,0.3793378112,0.0716174906,0.0509768508,0.3470183127,3,6,0.3627314344,3Y
DEMO-HS03,Hisse Senedi,0.2004837107,0.0628013331,0.3032452941,-0.4737567209,756,0.0291943019,0.0373139240,0.3793378112,-0.1788541005,0.0509945942,-0.8857263305,5,6,0.3627314344,3Y
