date,fund_id,nav
2022-01-03,DEMO-HS01,1.0000000000
2022-01-04,DEMO-HS01,0.9967365219
2022-01-05,DEMO-HS01,1.0167749445
2022-01-06,DEMO-HS01,1.0146658922
2022-01-07,DEMO-HS01,1.0043609453
2022-01-10,DEMO-HS01,0.9930227476
2022-01-11,DEMO-HS01,1.0133304714
2022-01-12,DEMO-HS01,0.9696930369
2022-01-13,DEMO-HS01,0.9701064959
2022-01-14,DEMO-HS01,0.9496366832
2022-01-17,DEMO-HS01,0.9500443536
2022-01-18,DEMO-HS01,0.9503495808
2022-01-19,DEMO-HS01,0.9845089868
2022-01-20,DEMO-HS01,0.9819075339
2022-01-21,DEMO-HS01,0.9688465330
2022-01-24,DEMO-HS01,0.9830244923
2022-01-25,DEMO-HS01,0.9859368409
2022-01-26,DEMO-HS01,0.9799898167
2022-01-27,DEMO-HS01,0.9470254964
2022-01-28,DEMO-HS01,0.9290329738
2022-01-31,DEMO-HS01,0.9666058206
2022-02-01,DEMO-HS01,0.9665073098
2022-02-02,DEMO-HS01,0.9553803698
2022-02-03,DEMO-HS01,0.9748108029
2022-02-04,DEMO-HS01,0.9747189839
2022-02-07,DEMO-HS01,0.9643244474
2022-02-08,DEMO-HS01,0.9873610629
2022-02-09,DEMO-HS01,0.9669669559
2022-02-10,DEMO-HS01,0.9625697501
2022-02-11,DEMO-HS01,0.9596497405
2022-02-14,DEMO-HS01,0.9614294543
2022-02-15,DEMO-HS01,0.9305310725
2022-02-16,DEMO-HS01,0.9324059124
2022-02-17,DEMO-HS01,0.9568429600
2022-02-18,DEMO-HS01,0.9632022419
2022-02-21,DEMO-HS01,0.9263032245
2022-02-22,DEMO-HS01,0.9124978928
2022-02-23,DEMO-HS01,0.9075134381
2022-02-24,DEMO-HS01,0.9099750294
2022-02-25,DEMO-HS01,0.9336954727
2022-02-28,DEMO-HS01,0.9378992396
2022-03-01,DEMO-HS01,0.9225638181
2022-03-02,DEMO-HS01,0.9181012882
2022-03-03,DEMO-HS01,0.9207053496
2022-03-04,DEMO-HS01,0.8959484278
2022-03-07,DEMO-HS01,0.8899690688
2022-03-08,DEMO-HS01,0.8840210347
2022-03-09,DEMO-HS01,0.8244888397
2022-03-10,DEMO-HS01,0.8293047991
2022-03-11,DEMO-HS01,0.8382986800
2022-03-14,DEMO-HS01,0.8443125669
2022-03-15,DEMO-HS01,0.8126789154
2022-03-16,DEMO-HS01,0.8373374134
2022-03-17,DEMO-HS01,0.8309016941
